title,imdb_id,year,summary,people,decade,people_count,has_summary,language
Kazhugu (2012 film),tt2285529,2012.0,,Bindu Madhavi; Karunas; Sathyasiva; Thambi Ramaiah,2010.0,4,False,
Khiladi 786,tt2166214,2012.0,,Akshay Kumar; Ashish R Mohan; Asin; Himesh Reshammiya; Mithun Chakraborty; Mukesh Rishi; Raj Babbar; Sunil Lulla; Twinkle Khanna,2010.0,9,False,
Krishnam Vande Jagadgurum,tt2499856,2012.0,,Brahmanandam; Kota Srinivasa Rao; Nayanthara; Radhakrishna Jagarlamudi; Rana Daggubati; Sai Madhav Burra,2010.0,6,False,
Laloorinu Parayanullathu,tt7296970,2012.0,,Sathish Kalathil,2010.0,1,False,
Maattrraan,tt2246837,2012.0,,K. V. Anand; Kajal Aggarwal; Sachin Khedekar; Suriya; Tara,2010.0,5,False,
Madhubana Kadai,tt2356688,2012.0,,,2010.0,0,False,
Mayamohini,tt2359175,2012.0,"Mayamohini is a 2012 Indian Malayalam-language action comedy film directed by Jose Thomas and written by Udayakrishna and Siby K. Thomas, starring Dileep in the title role with Biju Menon, Mohan Sharma, Baburaj, Raai Laxmi, Mythili and Spadikam George in supporting roles. Despite receiving mixed reviews from critics, the film was the highest grossing Malayalam film of the year. The movie was remade in Kannada as Jai Lalitha.",Baburaj; Biju Menon; Dileep (Gopalakrishnan P Pillai); Jose Thomas; Madhu Warrier; Mythili; Rai Laxmi; Spadikam George,2010.0,8,True,Malayalam
Mazhavillinattam Vare,tt11576176,2012.0,,Abbas Hasan; Archana Jose Kavi; Kaithapram Damodaran Namboothiri,2010.0,3,False,
Mohalla Assi,tt4949324,2012.0,,Chandraprakash Dwivedi; Kashinath Singh; Sunny Deol; Vinay Tiwari,2010.0,4,False,
Naduvula Konjam Pakkatha Kaanom,tt2564144,2012.0,,Balaji Tharaneetharan; Vijay Sethupathi,2010.0,2,False,
Nandeeswarudu,tt3371380,2012.0,,Jagapati Babu; Sheena Shahabadi; Taraka Ratna,2010.0,3,False,
Ocean of Tears,,2012.0,,,2010.0,0,False,
Once Again (2012 film),tt2409680,2012.0,,Sanjay Arora,2010.0,1,False,
Oru Kal Oru Kannadi,tt2359201,2012.0,,Hansika Motwani; M. Rajesh; N. Santhanam; Rajesh; Udhayanidhi Stalin,2010.0,5,False,
Oru Nadigaiyin Vaakkumoolam,tt2241395,2012.0,,Sonia Agarwal,2010.0,1,False,
Pakarnnattam,,2012.0,,Jayarajan Rajasekharan Nair; Jayaram,2010.0,2,False,
Run Baby Run (2012 film),tt2357208,2012.0,,Amala Paul; Aparna Nair; Biju Menon; Joshiy; Milan Jaleel; Mohanlal; Sachy; Saikumar; Sidhique,2010.0,9,False,
Samsara (2011 film),tt0770802,2012.0,,Neelesha Barthel; Ron Fricke,2010.0,2,False,
Save Your Legs!,tt1764581,2012.0,,Boyd Hicklin; Brendan Cowell; Brenton Thwaites; David Lyons; Stephen Curry,2010.0,5,False,
Shahid (film),tt2181831,2012.0,,Anurag Kashyap; Hansal Mehta; Rajkummar Rao; Sunil Bohra,2010.0,4,False,
Shanghai (2012 film),tt2072227,2012.0,"Shanghai is a 2012 Indian Hindi-language political thriller film directed and co-written by Dibakar Banerjee, starring Emraan Hashmi, Farooq Shaikh, Abhay Deol, Kalki Koechlin and Prosenjit Chatterjee. It is a remake of 1969 French film Z which was based on the Greek novel Z by Vassilis Vassilikos. On 6 June 2012, the high court refused stay on the release of the film. It received critical acclaim upon its release but was considered a modest commercial success.",Abhay Deol; Ajay Bijli; Dibakar Banerjee; Emraan Hashmi; Kalki Koechlin; Prosenjit Chatterjee,2010.0,6,True,Hindi
Shikari (2012 film),tt1881053,2012.0,,Abhaya Simha; Innocent Vareed Thekkethala; Mammootty; Mohan; Poonam Bajwa,2010.0,5,False,
Student of the Year,tt2172071,2012.0,,Alia Bhatt; Farida Jalal; Gauri Khan; Gautami Kapoor; Hiroo Johar; Karan Johar; Ram Kapoor; Rensil D'Silva; Rishi Kapoor; Ronit Roy; Sahil Anand; Sana Saeed; Sidharth Malhotra; Varun Dhawan,2010.0,14,False,
The King & the Commissioner,tt1956657,2012.0,,Mammootty; Renji Panicker; Samvrutha Sunil; Shaji Kailas; Suresh Gopi,2010.0,5,False,
100% Love (2011 film),tt1869226,2011.0,"100% Love is a 2011 Indian Telugu-language romantic comedy film directed by Sukumar and produced by Bunny Vasu under the banner Geetha Arts. The film stars Naga Chaitanya and Tamannaah Bhatia with music composed by Devi Sri Prasad. It revolves around Balu and Mahalakshmi, cross-cousins who share a love–hate relationship.",Naga Chaitanya; Sukumar; Tamannaah Bhatia,2010.0,3,True,Telugu
180 (2011 Indian film),tt1855110,2011.0,"180 is a 2011 Indian romantic drama film directed by Jayendra Panchapakesan who co-wrote the film with Subha and Umarji Anuradha. The film was shot simultaneously in Telugu and Tamil, the latter titled Nootrenbadhu (transl. 180). It stars Siddharth, Priya Anand and Nithya Menen with notable roles being played by Moulee, Tanikella Bharani and Geetha among others. Nootrenbadhu marks Siddharth's comeback and Nithya Menen's debut film in Tamil cinema",Jayendra Panchapakesan; Nithya Menen; Priya Anand; Siddharth; Subha,2010.0,5,True,
Aarakshan,tt1848771,2011.0,"Aarakshan (transl. 'Reservation') is a 2011 Indian Hindi-language political drama film starring Amitabh Bachchan, Saif Ali Khan, Manoj Bajpayee, Deepika Padukone, and Prateik Babbar. Directed by Prakash Jha, the film is a socio-political drama based on the controversial policy of caste based reservations in Indian government jobs and educational institutions. The film was released on 12 August 2011 to mostly mixed reviews. It was a Below Average grosser at the box office.",Amitabh Bachchan; Deepika Padukone; Dinesh Vijan; Manoj Bajpai; Prakash Jha; Prateik Babbar; Saif Ali Khan,2010.0,7,True,Hindi
Anhe Ghore Da Daan,tt2085746,2011.0,"Anhe Ghore Da Daan is a 2011 Indian Punjabi-language film directed by Gurvinder Singh, based on the 1976 novel of the same name by Gurdial Singh. It portrays the plight and problems of Dalit farmers in Punjab and their conflict with the upper caste landlords. The film won National Awards for Best Direction, Cinematography and Best Feature Film in Punjabi at the 59th National Film Awards of India.",Gurdial Singh; Gurvinder Singh; Kul Sidhu; Samuel John,2010.0,4,True,Punjabi
Appavi,tt9531344,2011.0,"Appavi (transl. Innocent) is a 2011 Indian Tamil language vigilante film written and directed by R. Raghuraj and produced by V. L. Dhandapani. The film's stars include debutant Gautham and Suhani Kalita in the lead roles, while K. Bhagyaraj, Soori, Sriranjani, Mahadevan, and Manobala play supporting roles. The music was composed by Joshua Sridhar with cinematography by E. Krishnasamy and editing by V. T. Vijayan. The film released on 1 April 2011 after much delay.",R. Raghuraj,2010.0,1,True,Tamil
Bitter Seeds,tt2306473,2011.0,Bitter Seeds is a 2011 documentary film by American filmmaker and director and political commentator Micha Peled. The film is the third part of Peled's globalization trilogy after Store Wars: When Wal-Mart Comes to Town (2001) and China Blue (2005).,Micha X. Peled,2010.0,1,True,
Bombay March 12,tt1886449,2011.0,"Bombay March 12 is a 2011 Indian Malayalam-language drama film written and directed by Babu Janardhanan. The film is based on the 1993 Bombay bomb blasts. The film marks the directorial debut of screenwriter Babu Janardhanan. The film stars Mammootty, Unni Mukundan and Roma. The narrative is in a hyperlink format. It was released on 30 June 2011. It was dubbed and released in Hindi as Hadsa Bombay March 12.",Babu Janardhanan; Mammootty; Roma Asrani; Unni Mukundan,2010.0,4,True,Malayalam
Buddha in a Traffic Jam,tt1890363,2011.0,Buddha in a Traffic Jam is a 2016 Indian political thriller film written and directed by Vivek Agnihotri. The film was released nationwide on 13 May 2016.,Arunoday Singh; Friday Night Productions; Vivek Agnihotri,2010.0,3,True,
