title,imdb_id,year,summary,people,decade,people_count,has_summary,language
Raja Rani Badsha,tt4298726,1998.0,,Ahmed Sharif; Haranath Chakraborty; Satabdi Roy,1990.0,3,False,
Ranokhetro,tt4271934,1998.0,,Aparajita Auddy; Deepankar De; Dulal Lahiri; Haranath Chakraborty; Kaushik Banerjee; Kushal Chakraborty; Lily Chakraborty; Prosenjit Chatterjee; Ranjit Mullick; Satabdi Roy; Subhasish Mukhopadhyay; Subhendu Chatterjee; Tota Roy Chowdhury,1990.0,13,False,
Rathna (film),tt27910716,1998.0,,Murali; Revathi,1990.0,2,False,
Sandhippoma,tt6358168,1998.0,,Preetha Vijayakumar; Suriya,1990.0,2,False,
Santhosham (1998 film),tt35407626,1998.0,,Deva,1990.0,1,False,
Senthooram,tt0316568,1998.0,,,1990.0,0,False,
Simmarasi,tt5544396,1998.0,,Anandaraj; Erode Soundar; Khushbu Sundar; R. Sarathkumar; shajimon,1990.0,5,False,
Sindurer Adhikar,,1998.0,,Anup Sengupta; Prosenjit Chatterjee,1990.0,2,False,
Sivappu Nila,,1998.0,,,1990.0,0,False,
Sollamale,tt2249734,1998.0,,Kausalya; Livingston; Sasi; shajimon,1990.0,4,False,
Sundara Pandian,tt15522622,1998.0,,Karthik; R. Raghu,1990.0,2,False,
Swamir Aadesh,,1998.0,,Abhishek Chatterjee; Biplab Chatterjee; Prosenjit Chatterjee; Satabdi Roy; Swapan Saha,1990.0,5,False,
Swarnamukhi (film),tt6754698,1998.0,,Devayani; K. S. Adhiyaman,1990.0,2,False,
Thalaimurai,tt0316752,1998.0,,K. S. Adhiyaman,1990.0,1,False,
The Terrorist (1998 film),tt0169302,1998.0,,Anuradha; Ayesha Dharker; Hindu philosophy; Santosh Sivan,1990.0,4,False,
Thulli Thirintha Kaalam,tt10295714,1998.0,,Arun Vijay; Balasekaran,1990.0,2,False,
Udhavikku Varalaamaa,tt10763466,1998.0,,Anju Aravind; Devayani; Gokula Krishnan; Janagaraj; Karthik; Manivannan,1990.0,6,False,
Ulavuthurai,tt10127922,1998.0,,Ramesh Selvan; Vijayakanth,1990.0,2,False,
Unnidathil Ennai Koduthen,tt0976183,1998.0,,Ajith Kumar; Karthik; Ramesh Khanna; Roja; Vikraman,1990.0,5,False,
Unnudan,tt32634565,1998.0,,M. Mani; Murali; R. Balu,1990.0,3,False,
Urimai Por,tt34352748,1998.0,,,1990.0,0,False,
Uyirodu Uyiraga,tt0435503,1998.0,,Ajith Kumar; Sarath Babu; Srividya; Sushmaa Roshan Ahuja,1990.0,4,False,
Vaettiya Madichu Kattu,tt6758346,1998.0,,Bayilvan Ranganathan; K. Bhagyaraj; Nagma; Poornima Bhagyaraj; Razak Khan; Sai Kumar; Satya Prakash; Shanthanu Bhagyaraj,1990.0,8,False,
Veera Thalattu,tt0314834,1998.0,,Kasthuri Raja; Murali,1990.0,2,False,
Veeram Vilanja Mannu,tt10189790,1998.0,,Kasthuri Raja; Vijayakanth,1990.0,2,False,
Velai,tt1509834,1998.0,"Velai ( transl. Work) is a 1998 Indian Tamil-language film, directed by J. Suresh and written by Balakumaran, starring Vignesh, Indraja and Nassar. It was released on 26 February 1998.",Indraja; J. Suresh; Nassar; Vignesh Gunasekaran,1990.0,4,True,Tamil
Vettu Onnu Thundu Rendu,tt34467247,1998.0,,Sakthi Chidambaram,1990.0,1,False,
Aahaa Enna Porutham,tt10184078,1997.0,"Aahaa Enna Porutham is a 1997 Indian Tamil-language comedy film directed by C. Ranganathan. The film stars Ramki, Goundamani and Sanghavi. It was released on 19 September 1997.",C. Ranganathan; Ramki,1990.0,2,True,Tamil
Aahaa..! (1997 film),tt1117960,1997.0,"Aahaa..! (transl. Wow..!) is a 1997 Indian Tamil-language film directed by Suresh Krissna, starring Rajiv Krishna and Sulekha. The film was a decent hit among Diwali releases and ran for 100 days. The film depicts a typical Brahmin family. It was remade in Telugu under the same title (1998) and in Kannada as Ghauttham (2009).",Bhanupriya; Crazy Mohan; Raghuvaran; Rajiv Krishna; Srividya; Sukanya; Sulekha; Suresh Krissna,1990.0,8,True,Tamil
Abhimanyu (1997 film),tt6754688,1997.0,"Abhimanyu is a 1997 Indian Tamil-language crime film directed by K. Subash. The film stars R. Parthiban, Ravali, Raghuvaran and Geetha. It was released on 5 September 1997.",K. Subash,1990.0,1,True,Tamil
Adarer Bon,tt6630980,1997.0,Adarer Bon is a 1997 Bengali drama film directed by Swapan Saha. The film's music was composed by Anupam Dutta.The film stars Prosenjit Chatterjee and Rituparna Sengupta in the lead roles.,Prosenjit Chatterjee; Swapan Saha,1990.0,2,True,
Adimai Changili,tt31186533,1997.0,"Adimai Changili is a 1997 Indian Tamil language action film directed by R. K. Selvamani. The film stars Arjun and Roja, while Rambha, Sunitha, Anandaraj and M. N. Nambiar play supporting roles. It was released on 9 May 1997.",Arjun Sarja; R.K. Selvamani; Rambha (actress); Roja,1990.0,4,True,Tamil
Arasiyal,tt0271368,1997.0,"Arasiyal (transl. Politics) is a 1997 Indian Tamil-language political drama film directed by R. K. Selvamani. The film stars Mammootty, Shilpa Shirodkar and Roja. It was released on 12 December 1997.",R.K. Selvamani,1990.0,1,True,Tamil
Aravindhan,tt1509733,1997.0,"Aravindhan is a 1997 Indian Tamil-language film written and directed by newcomer T. Nagarajan and produced by T. Siva. The film stars Sarathkumar as the titular character, alongside Parthiban, Nagma, and Oorvasi in the lead roles, while Visu, Prakash Raj, Anandaraj, and Thilakan play supporting roles. The film marks the debut of noted music composer Yuvan Shankar Raja, musician Ilaiyaraaja's youngest son, and the debut of cinematographer R. Rathnavelu. The film is based on the 1968 Kilvenmani massacre, in which 44 people were burnt alive. It was released on 16 February 1997, and failed at the box-office.",R. Sarathkumar; T. Nagarajan; T. Siva,1990.0,3,True,Tamil
Arunachalam (film),tt0139861,1997.0,"Arunachalam is a 1997 Indian Tamil-language action drama film directed by Sundar C and written by Crazy Mohan. The film stars Rajinikanth as the title character as well as in a dual role, alongside Soundarya and Rambha, with Jaishankar, Ravichandran and Visu in supporting roles. It revolves around a village simpleton, who later discovers he is the heir of a deceased billionaire, but must face extreme challenges to claim his father's inheritance.",Crazy Mohan; Rajini kanth; Sundar C,1990.0,3,True,Tamil
Bakul Priya,tt7780120,1997.0,,Abhishek Chatterjee; Manoj Mitra; Prosenjit Chatterjee; Satabdi Roy; Soham Chakraborty; Subhasish Mukhopadhyay; Subhendu Chatterjee; Swapan Saha,1990.0,8,False,
Bhagya Debata,tt0351183,1997.0,,Mithun Chakraborty; Raghuram,1990.0,2,False,
Bharathi Kannamma,tt6442354,1997.0,,Cheran; Meena; R. Parthiepan; Vadivelu; Vijayakumar,1990.0,5,False,
Dahan (1997 film),tt0143202,1997.0,,Abhishek Chatterjee; Indrani Haldar; Rituparna Sengupta; Rituparno Ghosh; Subhendu Chatterjee; Suchitra Bhattacharya; Suchitra Mitra,1990.0,7,False,
