title,imdb_id,year,summary,people,decade,people_count,has_summary,language
Poomalai,tt0248318,1965.0,"Poomalai is 1965 Indian Tamil-language woman's film, directed by P. Neelakantan and written by M. Karunanidhi. The film was produced by Murasoli Maran under Karunanidhi's production company Meghala Pictures, which also distributed the film. It stars S. S. Rajendran, C. R. Vijayakumari and Anjali Devi, with S. A. Ashokan, Nagesh and Manorama in supporting roles. The film focuses on the title character, a happy-go-lucky girl whose life changes for the worse when she is raped. It was released on 23 October 1965.",Murasoli Maran; Muthuvel Karunanidhi; P. Neelakantan; S. S. Rajendran,1960.0,4,True,Tamil
Preminchi Choodu (1965 film),tt0256282,1965.0,,Akkineni Nageswara Rao; C. V. Sridhar; Chittoor Nagaiah; Girija; Gummadi Venkateswara Rao; Kanchana; Kongara Jaggayya; P. Pullaiah; Rajasree; Relangi Venkata Ramaiah; Santha Kumari,1960.0,11,False,
Santhi (1965 film),tt1445739,1965.0,,A. Bhimsingh; A. L. Srinivasan; Sivaji Ganesan,1960.0,3,False,
Satya Harishchandra (1965 Telugu film),tt0234659,1965.0,,Aluri Chakrapani; Gummadi Venkateswara Rao; Kadiri Venkata Reddy; Mukkamala; N. T. Rama Rao; Pingali Nagendrarao,1960.0,6,False,
Shakespeare Wallah,tt0059709,1965.0,,Felicity Kendal; Geoffrey Kendal; Ismail Merchant; James Ivory; Laura Liddell; Madhur Jaffrey; Partap Sharma; Prayag Raj; Ruth Prawer Jhabvala; Shashi Kapoor; Utpal Dutt,1960.0,11,False,
Sri Simhachala Kshetra Mahima,,1965.0,,B. V. Prasad; Chalam; Chittoor Nagaiah; Girija; Kanta Rao; Krishna Kumari; Rajanala Kaleswara Rao; Rajashri; Relangi Venkata Ramaiah,1960.0,9,False,
Thaayum Magalum,tt33742955,1965.0,,M. A. Thirumugam; S. A. Ashokan; Sandow M. M. A. Chinnappa Thevar,1960.0,3,False,
Thazhampoo,tt1475422,1965.0,,M. G. Ramachandran,1960.0,1,False,
Thene Manasulu (1965 film),tt0269950,1965.0,,Adurthi Subba Rao; Basavaraju Venkata Padmanabha Rao; Krishna Ghattamaneni; Mullapudi Venkata Ramana; Sukanya,1960.0,5,False,
Thiruvilaiyadal,tt0246986,1965.0,"Thiruvilaiyadal is a 1965 Indian Tamil-language Hindu mythological film written, directed and co-produced by A. P. Nagarajan. The film stars Sivaji Ganesan, Savitri, and K. B. Sundarambal, with T. S. Balaiah, R. Muthuraman, Nagesh, T. R. Mahalingam, K. Sarangapani, Devika, Manorama, and Nagarajan in supporting roles. K. V. Mahadevan composed the film's soundtrack and score, and Kannadasan and Sankaradas Swamigal wrote the song lyrics.",A. P. Nagarajan; K. B. Sundarambal; Manorama; Nagesh; R. Muthuraman; Savitri; Sivaji Ganesan; T. R. Mahalingam; T. S. Balaiah,1960.0,9,True,Tamil
Thodu Needa,tt0259666,1965.0,,Adurthi Subba Rao; Bhanumathi Ramakrishna; Chittoor Nagaiah; Jamuna; N. T. Rama Rao; S. V. Ranga Rao; Samudrala Ramanujacharya,1960.0,7,False,
Unnaipol Oruvan (1965 film),tt28756862,1965.0,,Jayakanthan,1960.0,1,False,
Vaazhkai Padagu,tt3460848,1965.0,,Gemini Ganesan; S. S. Vasan,1960.0,2,False,
Vallavanukku Vallavan,tt3498588,1965.0,,Gemini Ganesan; K. A. Thangavelu; Manorama; R. S. Manohar; Savitri,1960.0,5,False,
Vazhikatti,tt16868558,1965.0,"Vazhikatti is a 1965 Indian Tamil-language romantic comedy film directed by K. Perumal and written by Nagercoil Padmanabhan. The film stars S. S. Rajendran, Rajasree and C. R. Vijayakumari, with V. K. Ramasamy and M. R. Radha in supporting roles. It was released after being in deadlock for nearly three years.",K. Perumal; S. S. Rajendran,1960.0,2,True,Tamil
Veera Abhimanyu (1965 film),tt6145404,1965.0,,A. V. M. Rajan; V. Madhusudhan Rao,1960.0,2,False,
Veerabhimanyu,tt1373253,1965.0,,Basavaraju Venkata Padmanabha Rao; Geetanjali; Kaikala Satyanarayana; Kanchana; Kanta Rao; N. T. Rama Rao; Rajanala Kaleswara Rao; Samudrala Raghavacharya; Sobhan Babu; V. Madhusudhan Rao,1960.0,10,False,
Vennira Aadai,tt1431187,1965.0,,C. V. Sridhar; Jayaram Jayalalithaa,1960.0,2,False,
Visala Hrudayalu,tt8870860,1965.0,,B. S. Narayana; Bollimuntha Sivaramakrishna; Gummadi Venkateswara Rao,1960.0,3,False,
Aandavan Kattalai (1964 film),tt1435456,1964.0,"Aandavan Kattalai is a 1964 Indian Tamil-language film directed by K. Shankar and produced by P. S. Veerappa. The film stars Sivaji Ganesan and Devika, with J. P. Chandrababu, K. Balaji, S. A. Ashokan, A. V. M. Rajan and Pushpalatha in supporting roles. It was released on 12 June 1964. The film is loosely based on the 1930 German film The Blue Angel.",Devika; J. P. Chandrababu; Javar Seetharaman; K. Shankar; Major Sundarrajan; P. S. Veerappa; Sivaji Ganesan,1960.0,7,True,Tamil
Aap Ki Parchhaiyan,tt0233145,1964.0,"Aap Ki Parchhaiyan is a 1964 Bollywood film. Produced and directed by Mohan Kumar, the film stars Dharmendra, Shashikala, Supriya Choudhury, Om Prakash and Manorama. The film's music is by Madan Mohan. A couple of songs; ""Main nigahen tere chehre se hataaoon kaise"", by Mohd. Rafi and ""Agar mujhse mohabbat hai"" by Lata Mangeshkar are plus points of this family drama.",Dharmendra; Mohan Kumar,1960.0,2,True,
Aathma Balam,tt0263022,1964.0,"Aathma Balam is a 1964 Indian Telugu-language romantic thriller film directed by V. Madhusudhana Rao and produced by V. B. Rajendra Prasad. The film stars Akkineni Nageswara Rao, B. Saroja Devi, Jaggayya and music composed by K. V. Mahadevan. It is a Telugu adaptation to Agradoot's Bengali film Agni Sanskar (1961).",Aathreya; Akkineni Nageswara Rao; Gummadi Venkateswara Rao; V. B. Rajendra Prasad; V. Madhusudhan Rao,1960.0,5,True,Telugu
Aayiram Roobai,tt0214511,1964.0,"Aayiram Roobai is 1964 Indian Tamil-language film, directed and written by K. S. Gopalakrishnan. It stars Gemini Ganesan and Savitri Ganesh. The film was released on 3 December 1964.",Gemini Ganesan; K. S. Gopalakrishnan,1960.0,2,True,Tamil
Aggi Pidugu,tt1510666,1964.0,"Aggi Pidugu is a 1964 Indian Telugu-language swashbuckler film produced and directed by B. Vittalacharya. It stars N. T. Rama Rao, Krishna Kumari and Rajasree, with music composed by Rajan–Nagendra. The film is based on the 1844 French novella The Corsican Brothers, written by Alexandre Dumas. The film was dubbed into Tamil with the title Veeraadhi Veeran and released in the same year.",B. Vittalacharya; Kaikala Satyanarayana; N. T. Rama Rao,1960.0,3,True,Telugu
Alli (film),tt8908356,1964.0,"Alli is a 1964 Indian Tamil-language film produced and directed by S. S. Rajendran, and written by Nagercoil Padmanabhan. Rajendran also stars along with R. Vijayakumari and Sowcar Janaki playing the title character. The film was released on 5 March 1964.",S. S. Rajendran,1960.0,1,True,Tamil
Amma Enge,,1964.0,"Amma Enge is a 1964 Indian Tamil-language film directed by G. Viswanathan. The film stars Muthuraman, R. S. Manohar, Chandrakantha and Rajasri. It was released on 27 November 1964.",R. S. Manohar; T. R. Sundaram,1960.0,2,True,Tamil
Annapoorna (film),,1964.0,"Annapoorna is a 1964 Indian Kannada language film directed by Aaroor Pattabhi and produced by actress Pandari Bai. Besides Pandari Bai herself in the title role, the film starred K. S. Ashwath, Mynavathi and Balakrishna in other main roles. Popular star Kalyan Kumar made a brief appearance in the first half of the film while Rajkumar makes an entry after one and a half hour into the movie. He appeared in the role of a lawyer for the first time on-screen. Chi. Udayashankar became full-fledged lyricist for the first time by writing all the songs of this movie. The movie is a remake of Pandari Bai's 1959 Tamil film Aval Yaar which had not performed well at the box-office.",K S Ashwath; Pandari Bai,1960.0,2,True,Kannada
Apne Huye Paraye,tt0357433,1964.0,,Agha; Ajit Chakraborty; Dulari; Iftekhar; Lalita Pawar; Mala Sinha; Manoj Kumar; Savitri; Shashikala; Sunder,1960.0,10,False,
April Fool (1964 film),tt0244977,1964.0,,Biswajit Chatterjee; Jayant; M. B. Shetty; Nazima; Ram Avtar; Ruby Myers; Saira Banu; Subodh Mukherjee,1960.0,8,False,
Arunagirinathar (film),tt0317103,1964.0,"Arunagirinathar is a 1964 Indian Tamil-language biographical film, directed by T. R. Ramanna and written by Sakthi T. K. Krishnasamy. Based on the life of 15th century Hindu poet of the same name, the film stars T. M. Soundararajan, supported by M. R. Radha, B. S. Saroja, Sarada, C. Lakshmi Rajyam and Master Raghunath. It was released on 7 August 1964.",Sakthi T. K. Krishnasamy; T. M. Soundararajan; T. R. Ramanna,1960.0,3,True,Tamil
