title,imdb_id,year,summary,people,decade,people_count,has_summary,language
Yeh Kya Ho Raha Hai?,tt0338566,2002.0,"Yeh Kya Ho Raha Hai is a 2002 Indian Hindi-language adult comedy film. It was directed by Hansal Mehta, produced by Pammi Baweja and written by Suparn Verma. It stars Prashant Chianani, Aamir Ali Malik, Vaibhav Jalani, Yash Pandit, Deepti Daryanani, Payal Rohatgi, Samita Bangargi and Punarnava Mehta. Its basic premise is taken from the American film American Pie.",Hansal Mehta; Pammi Baweja,2000.0,2,True,Hindi
12B,tt0375514,2001.0,"12B is a 2001 Indian Tamil-language romantic comedy drama film written, cinematographed and directed by Jeeva, with dialogues by Sujatha; it is his directorial debut. The film stars Shaam in his debut with Simran and Jyothika in lead roles. Hindi actors Suniel Shetty and Moon Moon Sen play supporting roles, and the music was composed by Harris Jayaraj, with editing by B. Lenin and V. T. Vijayan.",Jeeva; Jyothika; K. Bhagyaraj; Shaam; Simran; Vikram Singh,2000.0,6,True,Tamil
Ajnabee (2001 film),tt0278291,2001.0,"Ajnabee (transl. Stranger) is a 2001 Indian Hindi-language action thriller film directed by Abbas–Mustan and produced by Vijay Galani. It stars Akshay Kumar, Bobby Deol, Kareena Kapoor and Bipasha Basu in her debut, with Johnny Lever, Dalip Tahil, Narendra Bedi and Sharat Saxena in supporting roles. The film is an unofficial adaptation of the 1992 American thriller Consenting Adults. The music is composed by Anu Malik.",Abbas Alibhai Burmawalla; Akshay Kumar; Bipasha Basu; Bobby Deol; Kareena Kapoor Khan; Mastan Alibhai Burmawalla; Neeraj Vora; Robin Bhatt; Shyam Goel,2000.0,9,True,Hindi
Asathal,tt32043895,2001.0,"Asathal (transl. Wackiness) is a 2001 Indian Tamil-language comedy film written and directed by P. Vasu. The film stars Sathyaraj and Ramya Krishnan. Produced by Mala Cine Creations and featuring music composed by Bharadwaj, the film was released on 18 May 2001. It is a remake of the 1990 Malayalam film Thoovalsparsham which was earlier remade in Tamil as Thayamma.",Manivannan; P. Vasu; Ramesh Khanna; Ramya Krishnan; Sathyaraj; Swathi; Vadivelu,2000.0,7,True,Tamil
Kasoor,tt0272688,2001.0,"Kasoor (transl. Fault) is a 2001 Indian Hindi-language romantic thriller film directed by Vikram Bhatt and produced b Mukesh Bhatt's Vishesh Films. It stars Aftab Shivdasani and Lisa Ray in her Hindi film debut. Ray's voice was dubbed by Divya Dutta, while Shivdasani's voice was dubbed by Bhatt himself. Apoorva Agnihotri, Irrfan Khan and Ashutosh Rana appear in supporting roles. The film was released on 2 February 2001, and was a critical and commercial success. It is notable for the soundtrack composed by Nadeem–Shravan.",Aftab Shivdasani; Apurva Agnihotri; Ashutosh Rana; Divya Dutta; Irrfan Khan; Lisa Ray; Mahesh Bhatt; Mukesh Bhatt; Vikram Bhatt,2000.0,9,True,Hindi
Kyo Kii... Main Jhuth Nahin Bolta,tt0297241,2001.0,"Kyo Kii... Main Jhuth Nahin Bolta rarely abbreviated as KMJNB is a 2001 Indian Hindi-language fantasy comedy film directed by David Dhawan, starring Govinda, Sushmita Sen, Rambha, Anupam Kher, Satish Kaushik, Mohnish Bahl, and Ashish Vidyarthi. It is inspired by the American film Liar Liar (1997). This was later remade into a Telugu film as Mayagadu.",David Dhawan; Ekta Kapoor; Govinda; Rambha (actress); Shobha Kapoor; Sushmita Sen,2000.0,6,True,Hindi
Mujhe Meri Biwi Se Bachaao,tt0272735,2001.0,Mujhe Meri Biwi Se Bachaao is a 2001 Indian film directed by Harry Baweja. It stars Rekha and Naseeruddin Shah.,Arshad Warsi; Harry Baweja; Naseeruddin Shah; Prakash Mehra; Rekhā,2000.0,5,True,
Officer (2001 film),tt0265452,2001.0,"Officer is a 2001 action thriller film starring Suniel Shetty directed by Naeem Sha. It was released on 14th March 2001 after a long delay and was a flop, having being criticised for the delay and the differing appearances of the actors in different scenes, due to the time lag. The film is inspired by the 1958 film Vertigo (film)",Danny Denzongpa; Naeem Sha; Pramod Moutho; Raveena Tandon; Sunil Shetty,2000.0,5,True,
Pyaar Tune Kya Kiya (film),tt0281102,2001.0,"Pyaar Tune Kya Kiya is a 2001 Indian Hindi-language romantic thriller film produced by Ram Gopal Varma, and directed by Rajat Mukherjee. It stars Fardeen Khan, Urmila Matondkar and Sonali Kulkarni. The soundtrack was composed by Sandeep Chowta. The film, which marked Mukherjee's directorial debut, is mainly known for Matondkar's remarkable performance as an obsessed lover. It is a remake of the American film Fatal Attraction.",Fardeen Khan; Rajat Mukherjee; Rajpal Yadav; Ram Gopal Varma; Sonali Kulkarni; Urmila Matondkar,2000.0,6,True,Hindi
Bichhoo,tt0252277,2000.0,"Bichhoo (transl. Scorpion) is a 2000 Indian Hindi-language action thriller film directed by Guddu Dhanoa, starring Bobby Deol and Rani Mukerji. It is a remake of the 1994 French English-language film Léon: The Professional by Luc Besson with the age of the lead actress changed from 12 to 22 years.",Ashish Vidyarthi; Bobby Deol; Guddu Dhanoa; Malaika Arora; Rani Mukerji,2000.0,5,True,Hindi
Dhai Akshar Prem Ke,tt0255112,2000.0,"Dhaai Akshar Prem Ke is a 2000 Indian Hindi-language romantic drama film. It was the first of seven films which starred real-life couple Abhishek Bachchan and Aishwarya Rai. The film is a remake of the 1995 Hollywood film A Walk in the Clouds, which itself is a remake of the 1942 Italian film Quattro passi fra le nuvole. The movie did not do well critically and commercially, but the soundtrack of the film became very popular.",Abhishek Bachchan; Aishwarya Rai Bachchan; Raj Kanwar,2000.0,3,True,Hindi
Hera Pheri (2000 film),tt0242519,2000.0,"Hera Pheri is a 2000 Indian Hindi-language comedy film directed by Priyadarshan and written by Neeraj Vora, starring Akshay Kumar, Suniel Shetty, Paresh Rawal, Tabu, Om Puri and Gulshan Grover. The film is a remake of 1989 Malayalam film Ramji Rao Speaking which itself was inspired by the 1971 American TV movie See The Man Run. It is the first instalment of the Hera Pheri franchise. The plot revolves around two tenants, Raju and Shyam, and their landlord, Baburao Ganpatrao Apte, who are in desperate need of money. They chance upon a ransom call through a cross-connection and hatch a plan to claim the ransom for themselves.",Akshay Kumar; Neeraj Vora; Paresh Rawal; Priyadarshan; Sunil Shetty; Tabu,2000.0,6,True,Hindi
Kadhal Rojavae,tt0274594,2000.0,"Kadhal Rojavae is a 2000 Indian Tamil-language romance film directed by Keyaar. It is a remake of the 1991 Hindi film Dil Hai Ke Manta Nahin., which itself is based on the 1934 American film It Happened One Night. The film stars newcomers George Vishnu and Pooja Kumar, while Sarath Babu, Charle and S. S. Chandran play supporting roles. The film's music is composed by Ilaiyaraaja.",George Vishnu; Kothanda Ramaiah,2000.0,2,True,Tamil
Khauff,tt0220596,2000.0,"Khauff is a 2000 Indian Hindi-language action thriller film directed by Sanjay Gupta, starring Sanjay Dutt and Manisha Koirala. It was an unofficial remake of the American film The Juror. It was released on 3 March 2000.",Manisha Koirala; Raveena Tandon; Sanjay Dutt; Sanjay Gupta,2000.0,4,True,Hindi
Sudhandhiram,tt1505127,2000.0,"Sudhandhiram (transl. Independence) is a 2000 Indian Tamil-language crime action film directed by Raj Kapoor and produced by K. R. Gangadharan. The film stars Arjun and Rambha while Raghuvaran, Radhika and Sharat Saxena play supporting roles. It is a remake of the Hindi film Ghulam (1998) which itself is based on the 1954 American film On the Waterfront.",Arjun Sarja; K. R. Gangadharan; Raghuvaran; Raj Kapoor; Rambha (actress),2000.0,5,True,Tamil
Alludugaaru Vachcharu,tt1575507,1999.0,"Alludugaaru Vachcharu is a 1999 Telugu-language drama film directed by Ravi Raja Pinisetty. It stars Jagapati Babu, Kausalya, Heera Rajagopal and music composed by M. M. Keeravani. The film is a remake of the Tamil movie Pooveli (1998) which is itself an unofficial remake of A Walk in the Clouds (1995).",Jagapati Babu; Ravi Raja Pinisetty,1990.0,2,True,Telugu
Baadshah (1999 film),tt0211934,1999.0,"Baadshah (transl. Emperor) is a 1999 Indian Hindi-language action comedy film directed by Abbas–Mustan. The film stars Shah Rukh Khan and Twinkle Khanna in the lead roles and Amrish Puri, Rakhee Gulzar, Johnny Lever and Razak Khan in supporting roles. It was released on 27 August 1999. Khan earned a Filmfare Award for Best Performance in a Comic Role nomination for his performance in the film. The film's plot is loosely based on the 1995 American film Nick of Time.",Abbas Alibhai Burmawalla; Amrish Puri; Johnny Lever; Mastan Alibhai Burmawalla; Shah Rukh Khan; Shyam Goel; Twinkle Khanna,1990.0,7,True,Hindi
Bade Dilwala,tt0286478,1999.0,Bade Dilwala (transl. Magnanimous) is a 1999 Indian Hindi-language romance film produced and directed by Shakeel Noorani. The film is a remake of the 1994 Hollywood movie It Could Happen to You. It stars Sunil Shetty and Priya Gill in pivotal roles. It is unrelated to the 1983-released Bollywood film of the same name.,Priya Gill; Satish Kaushik; Shakeel Noorani; Sunil Shetty,1990.0,4,True,Hindi
Chandamama (1999 film),tt0255042,1999.0,"Chandamama is a 1999 Indian Malayalam-language Black comedy film directed by Murali Krishnan and written by Rajan Kiriyath, starring Kunchako Boban, Tejali Ghanekar, Jagathi Sreekumar, Sudheesh and Kalabhavan Navas. It is loosely based on 1989 American comedy film Weekend at Bernie's directed by Ted Kotcheff.",Cochin Haneefa; Harisree Ashokan; Jagathy Sreekumar; Kunchacko Boban; Muralikrishnan T.; Sudheesh,1990.0,6,True,Malayalam
Hello Brother (1999 film),tt0233856,1999.0,Hello Brother is a 1999 Indian Hindi-language romantic fantasy comedy action film written and directed by Sohail Khan. It stars Khan's real-life elder brothers Salman Khan and Arbaaz Khan with Rani Mukerji and Shakti Kapoor. The film is an adaptation of 1992 Malayalam film Aayushkalam.,Arbaaz Khan; Rani Mukerji; Salman Khan; Sohail Khan,1990.0,4,True,Hindi
James Bond (1999 film),tt0255268,1999.0,"James Bond is a 1999 Indian Malayalam-language comedy film directed by Baiju Kottarakkara and starring Kalabhavan Mani, Premkumar, Bheeman Raghu, Indrans, Abi, Vani Viswanath, Janardhanan and NL Balakrishnan. The film is a remake of the 1995 Telugu film Sisindri which itself was a remake of the 1994 American film Baby's Day Out. It was filmed mainly in New Delhi.",Baiju Kottarakkara; Bheeman Raghu; Indrans; Kalabhavan Mani; Vani Viswanath,1990.0,5,True,Malayalam
Janumadatha,tt14814686,1999.0,"Janumadatha is a 1999 Indian Kannada-language film, directed by T. S. Nagabharana and produced by K. Musthafa. The film stars Shiva Rajkumar, Anju Aravind, Sarath Babu and Ambika. The film's musical score was by V. Manohar. The film is based on the Oscar Award winning Dutch film Character (1997).",Shiva Rajkumar; T. S. Nagabharana,1990.0,2,True,Kannada
Kartoos,tt0220594,1999.0,"Kartoos is a 1999 Indian Hindi action thriller film directed by Mahesh Bhatt and starring Sanjay Dutt, Jackie Shroff and Manisha Koirala. It was the last release of Mahesh Bhatt as a director until the release of Sadak 2 (2020). The film borrows its plot idea from the 1993 film Point of No Return, which in turn is a remake of the French film La Femme Nikita, where Bridget Fonda essays a role which is very similar to that character of Sanjay Dutt. The film was remade in Tamil as Paramasivan (2006).",Jackie Shroff; Mahesh Bhatt; Manisha Koirala; Sanjay Dutt,1990.0,4,True,
Mann (1999 film),tt0206921,1999.0,"Mann is a 1999 Indian Hindi-language romantic drama film written and directed by Indra Kumar. The film starred Aamir Khan and Manisha Koirala, pairing them for the second time, and also features Anil Kapoor, Sharmila Tagore and Neeraj Vora with Rani Mukerji in a special appearance. This is the second collaboration between Khan and Koirala since Akele Hum Akele Tum (1995). The film is mainly based on the 1957 American film An Affair To Remember. Mann received positive reviews upon release. The soundtrack by Sanjeev–Darshan has been well received but criticised for allegedly plagiarising other songs.",Aamir Khan; Anant Mahadevan; Anil Kapoor; Dalip Tahil; Deepti Bhatnagar; Indra Kumar; Manisha Koirala; Mushtaq Khan; Neeraj Vora; Paresh Ganatra; Rani Mukerji; Satyen Kappu; Sharmila Tagore; Sheela Sharma; Sumona Chakravarti,1990.0,15,True,Hindi
